"ID","Username","Date","Time","Quote","Hero","Game","Map","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute"
191,"JCburglar",2023-05-25,15:27:00,"""plat 2""","N/A","Overwatch","Midtown","N/A","Vixx","stated the lobby rank",2023,"May","Thu",15,"27"
192,"DETERMINISTJ",2023-05-25,15:27:00,NA,"Kiriko","Overwatch","Midtown","Peasant","Vixx","Kiriko player",2023,"May","Thu",15,"27"
193,"SammyJ",2023-05-26,14:11:00,"""IT'S LITERALLOY WHO CAN THIRD PARTY THE MOST PEOPLE""","N/A","Overwatch","N/A","N/A","Sqweryl","? strange man",2023,"May","Fri",14,"11"
194,"JayQweezy",2023-05-27,16:28:00,NA,"Mei","Overwatch","Antarctic Peninsula","World Eater","Vixx","Mei player",2023,"May","Sat",16,"28"
195,"JHL",2023-05-27,16:29:00,NA,"Hanzo","Overwatch","Dorado","Peasant","Richard","Hanzo player",2023,"May","Sat",16,"29"
196,"jshavs1",2023-05-28,16:32:00,"""ye""","N/A","Overwatch","Dorado","Peasant","Richard","Peasant tag",2023,"May","Sun",16,"32"
197,"JAYREY007",2023-05-29,16:18:00,NA,"Soldier","Overwatch","Nepal","None","Richard","Soldier player",2023,"May","Mon",16,"18"
198,"AJDAGREAT",2023-05-30,18:03:00,NA,"N/A","Overwatch","Junkertown","None","Vixx","Support player Junkertown",2023,"May","Tue",18,"03"
199,"JWOODLEY20",2023-05-31,14:31:00,NA,"N/A","Overwatch","Dorado","Assassin","Vixx","Dorado",2023,"May","Wed",14,"31"
200,"VIBINJ",2023-06-01,15:32:00,NA,"Kiriko","Overwatch","Nepal","None","Vixx","Server closed randomly",2023,"Jun","Thu",15,"32"
201,"YKALEJ",2023-06-02,18:44:00,NA,"N/A","Overwatch","Antarctic Peninsula","Extraterrestrial","Vixx","Antarctica",2023,"Jun","Fri",18,"44"
202,"JAYDEE",2023-06-02,18:57:00,NA,"Wrecking Ball","Overwatch","Eichenwalde","None","Vixx","Ball player, 2nd sighting 2024-07-11 Circuit Royal",2023,"Jun","Fri",18,"57"
203,"VYNJJ",2023-06-04,18:34:00,NA,"N/A","Overwatch","Circuit Royale","Scholar","Vixx","Circuit Royal",2023,"Jun","Sun",18,"34"
204,"JMAN1357",2023-06-05,17:23:00,NA,"N/A","Overwatch","Blizzard World","None","Vixx","Blizzard world",2023,"Jun","Mon",17,"23"
205,"PBJ87472",2023-06-06,17:28:00,NA,"N/A","Overwatch","Circuit Royale","Platinum Challenger","Vixx","Circuit Royal",2023,"Jun","Tue",17,"28"
206,"PBANDJ",2023-06-07,16:14:00,NA,"N/A","Overwatch","Lijiang Tower","Star Pilot","Vixx","Lijiang Tower",2023,"Jun","Wed",16,"14"
207,"SquishyJ",2023-06-08,12:05:00,NA,"N/A","Overwatch","N/A","Star Pilot","Sqweryl","Squid icon + Star pilot",2023,"Jun","Thu",12,"05"
208,"JJSMITTY",2023-06-09,16:19:00,NA,"Junker Queen","Overwatch","N/A","World Eater","Vixx","Junkerqueen ""World Eater"" title",2023,"Jun","Fri",16,"19"
209,"JWhat",2023-06-11,17:33:00,NA,"Ana","Overwatch","Circuit Royale","World Eater","Vixx","World Eater ana god",2023,"Jun","Sun",17,"33"
